address,url,description,rooms,winterized,price,surface,year,original_price,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Levonkallio 57, Tyrväntö, Hattula",https://www.etuovi.com/kohde/1373022,"2h, kk, terassi + rantasauna.",2,NO,138000.0,33.0,1966,138000.0,61.1472361,24.3175409,115 km,1 hour 21 mins,2024-07-16,2024-08-05
"Ihalemmentie 439, Hattula",https://www.etuovi.com/kohde/80357602,Mökki tai huvila,,NO,297000.0,,,297000.0,61.0494141,24.2898594,109 km,1 hour 11 mins,2024-07-16,2024-08-05
"Louhijärventie , Rasinkylä, Puolanka",https://www.etuovi.com/kohde/w46439,tupak + 1h,2,NO,98000.0,43.0,2008,111111.0,64.8233846,27.9562097,654 km,7 hours 15 mins,2024-07-16,2024-08-05
"Ilvesniementie 199, Laitikkala, Pälkäne",https://www.etuovi.com/kohde/31708520,"2h, k, s, khh, kph, terassi + ullakkovaraus",2,YES,218000.0,91.5,2005,218000.0,61.2954181,24.4650144,137 km,1 hour 35 mins,2024-07-16,2024-08-05
"Koivuluhdantie 59, Lavia, Pori",https://www.etuovi.com/kohde/80335023,"3h, k, s, ph, puucee",3,NO,159000.0,40.0,1969,164000.0,61.5884708,22.3641603,261 km,2 hours 50 mins,2024-07-08,2024-08-05
"Metsä-Peltolantie 154, Putkijärvi, Hartola",https://www.etuovi.com/kohde/21932602,"2mh, tupakeittiö, sauna",3,NO,88000.0,48.0,1978,88000.0,61.7459344,25.9135688,200 km,2 hours 14 mins,2024-07-16,2024-08-05
"Isoluodontie 127, Lokalahti, Vartsaari, Uusikaupunki",https://www.etuovi.com/kohde/20082238,2h + kk + alkovi + rantas. + ph,,YES,124000.0,40.0,1983,124000.0,60.6474692,21.4693171,229 km,2 hours 33 mins,2024-07-16,2024-08-05
"Niittyhaantie 88, Pieksämäki",https://www.etuovi.com/kohde/69225161,Rantasauna,,NO,32700.0,10.0,,32700.0,62.2188604,27.3564075,295 km,3 hours 12 mins,2024-07-16,2024-08-05
"Mäntyniementie 133, Mäntyniemi, Rääkkylä",https://www.etuovi.com/kohde/576470,"mh, tpk, s, kph, wc",1,NO,142000.0,56.0,2006,149000.0,62.32217,29.58356869999999,426 km,4 hours 50 mins,2024-07-08,2024-08-05
"Mäntyniementie 66, Sulkava",https://www.etuovi.com/kohde/580398,Oh + k + mh,2,NO,54000.0,61.0,1991,54000.0,61.71841135,28.329100337125865,311 km,3 hours 28 mins,2024-07-16,2024-08-05
"Lippaanniementie 30, Saarikylät, Kangasala",https://www.etuovi.com/kohde/1373406,"3h, k, s, ph, khh, 2wc, lasitettu terassi, tekntila",3,NO,319000.0,113.0,,319000.0,61.37951140000001,24.1465387,148 km,1 hour 43 mins,2024-07-16,2024-08-05
"Majoisentie 210 A, Vartiala, Kuopio",https://www.etuovi.com/kohde/580684,"tupa, kk, h",1,NO,60000.0,36.0,1967,60000.0,62.9218354,27.9857362,411 km,4 hours 29 mins,2024-07-16,2024-08-05
"Metjotanniementie 168g, Hirvensalmi",https://www.etuovi.com/kohde/39502834,"Tupa, k, mh, parvi, katettu terassi",2,NO,149000.0,56.0,1992,149000.0,61.690417,26.9539114,224 km,2 hours 29 mins,2024-07-16,2024-08-05
"Jussilantie 59, Raikku, Pälkäne",https://www.etuovi.com/kohde/80364590,oh / k + alkovi + mh + ph + th + s + pukuh.,3,NO,165000.0,100.0,1974,165000.0,61.4146775,24.3269371,150 km,1 hour 43 mins,2024-07-16,2024-08-05
"Selänrannantie 191, Ristiina, Mikkeli",https://www.etuovi.com/kohde/1373555,"3h, k, varastohuone, tuulikaappi ja lasitettu terassi",3,NO,179000.0,60.0,1975,179000.0,61.5038747,27.50725765589131,244 km,2 hours 46 mins,2024-07-16,2024-08-05
"Hinttolan saari, VASTAMÄKI 576-403-1-145 , Padasjoki",https://www.etuovi.com/kohde/55654060,Mökki tai huvila,,NO,98000.0,12.0,,98000.0,61.33121939999999,25.4974552,145 km,1 hour 42 mins,2024-07-16,2024-08-05
"Korpiniementie 67 B, Rannankylä, Rautavaara",https://www.etuovi.com/kohde/20975147,oh + k + mh + ph + s + pukuh + veranta + wc,,YES,98000.0,72.0,1973,98000.0,63.4941835,28.2984028,485 km,5 hours 16 mins,2024-07-16,2024-08-05
