address,url,description,rooms,winterized,price,original_price,surface,year,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Kotaniementie 138 E, Kotaniemi, Pielavesi",https://www.etuovi.com/kohde/576021,"tupa, pukuh, sauna",1.0,NO,109500.0,109500.0,23.7,2019.0,63.14315689999999,26.6115164,404 km,4 hours 38 mins,2024-07-08,2024-07-08
"Kelhäntie 2, Suomela, Kangasala",https://www.etuovi.com/kohde/20206204,Mökki tai huvila,,NO,99000.0,99000.0,,,61.45903399999999,24.009576,159 km,1 hour 48 mins,2024-07-08,2024-07-08
"Loukeentie 299 A, Maavesi, Pieksämäki",https://www.etuovi.com/kohde/575689,"2h, kk, s, pukuh.",2.0,NO,68000.0,68000.0,36.5,1994.0,62.2686316,27.4830755,316 km,3 hours 24 mins,2024-07-08,2024-07-08
"Koruniementie 72, Mannila, Eura",https://www.etuovi.com/kohde/20566595,"Tupakeittiö, makuuhuone, parvi",2.0,NO,230000.0,230000.0,39.0,2004.0,61.03655629999999,22.1625607,222 km,2 hours 34 mins,2024-07-08,2024-07-08
"Valkeajärventie 220, Korkeakoski, Ruovesi",https://www.etuovi.com/kohde/20746581,"tupa, kk, mh, s, pukuh, terassi",2.0,NO,118000.0,118000.0,44.0,1974.0,61.86700519999999,24.2791922,233 km,2 hours 30 mins,2024-07-08,2024-07-08
"Kukontie 197 B, Multia",https://www.etuovi.com/kohde/575868,Tupak. + kph + s,1.0,NO,89000.0,89000.0,53.5,1988.0,62.4192256,24.799684,304 km,3 hours 21 mins,2024-07-08,2024-07-08
"Ahdassalmentie 52 A, Suomenniemi, Mikkeli",https://www.etuovi.com/kohde/575825,"2mh, tupakeittiö, kph, et, parvi",3.0,NO,370000.0,370000.0,76.0,2021.0,61.35868009999999,27.4794802,235 km,2 hours 40 mins,2024-07-08,2024-07-08
"Suidenniementie 133 C, Vaaraslahti, Pielavesi",https://www.etuovi.com/kohde/w32242,tupak + 1h + kph + s,,NO,98000.0,98000.0,43.0,2012.0,63.33670299999999,26.6967806,432 km,5 hours 0 mins,2024-07-08,2024-07-08
"Kråkbontie 168, Noormarkku, Pori",https://www.etuovi.com/kohde/w32238,3h + k + wc + parvi,3.0,YES,179000.0,179000.0,68.0,2008.0,61.5735817,22.0799331,281 km,3 hours 7 mins,2024-07-08,2024-07-08
"Majalahdentie 195, Jähdyspohja, Virrat",https://www.etuovi.com/kohde/576521,"Tupa, keittiö, pukuhuone, sauna",1.0,NO,49000.0,49000.0,38.0,1970.0,62.1923329,23.8225891,271 km,2 hours 59 mins,2024-07-08,2024-07-08
"Havialantie 136, Haviala, Kangasala",https://www.etuovi.com/kohde/576402,"Tupa, k, 2xmh, s",3.0,NO,119000.0,119000.0,30.0,1988.0,61.5510574,24.044858,187 km,1 hour 54 mins,2024-07-08,2024-07-08
"Hatunpolku 2, Koli, Lieksa",https://www.etuovi.com/kohde/20458881,3h + k + pkh + kph + s + wc,3.0,YES,158000.0,158000.0,79.5,2012.0,63.11375139999999,29.7773671,481 km,5 hours 25 mins,2024-07-08,2024-07-08
"Seppo-saari, Simpelejärvi, Parikkala",https://www.etuovi.com/kohde/21812793,tupa + 2 makuualkovia,,NO,59000.0,59000.0,36.0,1983.0,61.5501871,29.5024022,316 km,3 hours 28 mins,2024-07-08,2024-07-08
"Pitkäjärven Itärannantie 13, Pitkäjärvi, Mikkeli",https://www.etuovi.com/kohde/1368788,"tupa, keittiö, kammari ja makuuaitta",3.0,NO,130000.0,130000.0,41.0,1979.0,61.6632037,27.2421463,227 km,2 hours 26 mins,2024-07-08,2024-07-08
"Vilukselantie 6, Pitkäjärvi, Somero",https://www.etuovi.com/kohde/v37346,Tupa + kk + parvi + sauna + pukuhuone + terassi,,NO,92500.0,92500.0,32.0,1978.0,60.6731365,23.2626915,124 km,1 hour 37 mins,2024-07-08,2024-07-08
