name,location,network,type,address,website,latitude,longitude
Kotkansaaren terveysasema,Kotka,,Health Center,"Keskuskatu 30, 48100 Kotka",Kotkansaaren terveysasema (Arkistoitu – Internet Archive),60.463022,26.937235
Karhulan terveysasema,Kotka,,Health Center,"Vesivallinkatu 20, 48600 Kotka",Karhulan terveysasema (Arkistoitu – Internet Archive),60.5225,26.909494
Länsi-Kotkan terveysasema,Kotka,,Health Center,"Taruraitti 2, 48350 Kotka",Länsi-Kotkan terveysasema (Arkistoitu – Internet Archive),60.483068,26.859209
Kotkan terveyskeskuspäivystys,Kotka,,Health Center,"Kymenlaakson keskussairaalan ensiapupoliklinikka, Kotkantie 41, 48210 Kotka","Päivystys, Kymenlaakson keskussairaala (Arkistoitu – Internet Archive)",60.477435,26.912839
Halikon terveysasema,Salo,,Health Center,"Hornintie 1, 24800 Halikko",Halikon terveysasema (Arkistoitu – Internet Archive),60.383794,23.069775
Kiikalan terveysasema,Salo,,Health Center,"Lautelantie 4, 25390 Kiikala",Kiikalan terveysasema (Arkistoitu – Internet Archive),60.31111,23.78057
Kiskon terveysasema,Salo,,Health Center,"Toijantie 10, 25460 Kisko",Kiskon terveysasema (Arkistoitu – Internet Archive),60.263917,23.444824
Kuusjoen terveysasema,Salo,,Health Center,"Yli-Pässintie 5, 25330 Kuusjoki",Kuusjoen terveysasema (Arkistoitu – Internet Archive),61.90386,22.70424
Läntinen terveysasema,Salo,,Health Center,"Vilhonkatu 25, 24240 Salo","Läntinen terveysasema, Salo (Arkistoitu – Internet Archive)",60.387452,23.122471
Salon pääterveysasema,Salo,,Health Center,"Sairaalantie 9, 24130 Salo","Pääterveysasema, Salo (Arkistoitu – Internet Archive)",60.374872,23.128518
Perniön terveysasema,Salo,,Health Center,"Vuorilinnantie 7, 25500 Perniö",Perniön terveysasema (Arkistoitu – Internet Archive),60.201928,23.129269
Suomusjärven terveysasema,Salo,,Health Center,"Aronkuja 2, 25410 Suomusjärvi",Suomusjärven terveysasema (Arkistoitu – Internet Archive),60.35,23.65
Salon päivystys,Salo,,Health Center,"Salon sairaalan ensiapu, Sairaalantie 9, 24130 Salo",TYKS Salon sairaalan ensiapu (Arkistoitu – Internet Archive),60.374872,23.128518
"Näsin terveyskeskus, Porvoo",Porvoo,,Health Center,"Askolinintie 1, 06100 Porvoo",Terveyskeskus: Toimipisteet ja asiointi (Arkistoitu – Internet Archive),60.385879,25.646021
Porvoon sairaalan yhteispäivystys,Porvoo,,Health Center,"Sairaalantie 1, 3. krs (sisääntulokerros), 06150 Porvoo (PL 500, 06151 Porvoo)",Päivystyspoliklinikka (HUS Porvoon sairaala),60.378032,25.695711
Askolan terveyskeskus,Askola,,Health Center,"Terveystie 1, 07500 Askola",Askola: päivystys ja ensiapu (terveyskeskus) (Arkistoitu – Internet Archive),60.525589,25.601406
Loviisan terveyskeskus,Loviisa,,Health Center,"Öhmaninkatu 4, 07900 Loviisa","Lääkäri- ja hoitajavastaanotot, Päivystys",60.459636,26.229646
Lapinjärven terveystalo,Lapinjärvi,,Health Center,"Lapinjärventie 25, 07800 Lapinjärvi","Lääkäri- ja hoitajavastaanotot, Päivystys",60.623816,26.197869
Koskenkylän terveystalo,Loviisa,,Health Center,"Suurpellontie 2, 07700 Koskenkylän Saha",Toiminta loppunut/ siirretty Loviisan pääterveysasemalle. Terveystalo (terveysasema) suljettu kaupunginvaltuuston 9.7.2020 tekemällä päätöksellä osana säästöohjelmaa. Toisaalta sulkamista on luonnehdittu myös tilapäiseksi 23.09.2020 (Arkistoitu – Internet Archive),60.502821,25.932442
Mäntsälän terveysasema,Mäntsälä,,Health Center,"Kivistöntie 14, 04600 Mäntsälä",Keusote: Terveysasemien sijainti - Mäntsälän terveysasema (Arkistoitu – Internet Archive),60.635801,25.326034
Pornaisten terveysasema,Pornainen,,Health Center,"Latiskantie 3, 07170 Pornainen",Keusote: Terveysasemien sijainti - Pornaisten terveysasema (Arkistoitu – Internet Archive),60.475631,25.377588
Nikkilän sosiaali- ja terveysasema,Sipoo,,Health Center,"Jussaksentie 14, 04130 Sipoo",Nikkilän sosiaali- ja terveysasema / Puhelinasiointi ja palveluajat,60.377898,25.265667
(Söderkullan terveysasema),Sipoo,,Health Center,suljettu 2020,"suljettu 2020, uutta sote-asemaa harkitaan",62.690582,23.790626
Kokkolan pääterveysasema,Kokkola,,Health Center,"Mariankatu 28, 67200 Kokkola","Pääterveysasema, tiimit 1, 2, 3, 4 (Arkistoitu – Internet Archive)",63.844035,23.106762
Koivuhaan terveysasema,Kokkola,,Health Center,"Mäntynäädänkatu 6, 67800 Kokkola",Koivuhaan terveysasema (Arkistoitu – Internet Archive),63.826065,23.071229
Kälviän terveysasema,Kokkola,,Health Center,"Ellfolkinkatu 5, 68300 Kälviä",Kälviän terveysasema,63.859786,23.450358
Lohtajan terveysasema,Kokkola,,Health Center,"Lohtajantie 3, 68230 Lohtaja",Lohtajan terveysasema,64.024484,23.503229
Ullavan terveysasema,Kokkola,,Health Center,"Ullavantie 701, 68370 Ullava",Ullavan terveysasema,63.706269,23.89391
Kruunupyyn terveysasema,Kruunupyy,,Health Center,"Säbråntie 1, 68500 Kruunupyy",Kruunupyyn terveysasema,63.726249,23.02877
Alavetelin terveysasema,Kruunupyy,,Health Center,"Kirkkomäentie 14, 68410 Alaveteli",Alavetelin terveysasema (Arkistoitu – Internet Archive),63.70101,23.351037
Teerijärven terveysasema,Kruunupyy,,Health Center,"Hörbyntie 8, 68700 Teerijärvi",Teerijärven terveysasema (Arkistoitu – Internet Archive),63.53333,23.5
Keski-Pohjanmaan keskussairaalan yhteispäivystys,Kokkola,,Health Center,"Mariankatu 16-20 (l-siipi, sis.käynti B1), 67200 Kokkola",Keski-Pohjanmaan keskussairaalan yhteispäivystys (Arkistoitu – Internet Archive),63.844387,23.109765
Karjalohjan terveysasema,Lohja,,Health Center,"Tallaantie 4, 09120 Karjalohja",Oma Lääkärisi Karjalohja (Mehiläinen),60.239581,23.719382
