name,location,network,type,address,website,latitude,longitude
Iho- ja allergiasairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Meilahdentie 2, 00250 Helsinki, Finland",,60.191752,24.895094
Kirurginen sairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Kasarmikatu 11-13, 00130 Helsinki, Finland",,60.162244,24.948631
Malmin sairaala,Helsinki,,Hospital,"Talvelantie 6, 00700 Helsinki, Finland",,60.253565,24.999478
Naistenklinikka,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Haartmaninkatu 2, 00290 Helsinki, Finland",,60.188652,24.910601
Ortonin sairaala,Helsinki,,Hospital,"Tenholantie 10, 00280 Helsinki, Finland",,60.202336,24.90741
Puistosairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Stenbäckinkatu 11, 00290 Helsinki, Finland",,60.186982,24.909311
Silmä-korvasairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Haartmaninkatu 4 C ja E, 00290 Helsinki, Finland",,51.474383,5.65102
Siltasairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Haartmaninkatu 4, 00290 Helsinki, Finland",,60.190487,24.90727
Suursuon sairaala,Helsinki,,Hospital,"Suursuonlaita 3 B, 00630 Helsinki, Finland",,60.23503,24.932696
Syöpätautien klinikka,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Haartmaninkatu 4 Rakennus 2, 00290 Helsinki, Finland",,60.190487,24.90727
Uusi lastensairaala,Helsinki,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Stenbäckinkatu 9 Rakennus 6, 00290 Helsinki, Finland",,60.187842,24.910964
Porvoon sairaala,Porvoo,,Hospital,"Sairaalantie 1, 06150 Porvoo, Finland",,60.378032,25.695711
Hyvinkään sairaala,Hyvinkää,,Hospital,"Sairaalankatu 1, 05850 Hyvinkää, Finland",,60.609706,24.828395
Kiljavan sairaala,Nurmijärvi,,Hospital,"Kiljavantie 539 A, 05250 Kiljava, Finland",,60.5045,24.68988
Kellokosken sairaala,Tuusula,,Hospital,"Ohkolantie 10, 04500 Mäntsälä, Finland",,60.63184,25.316504
Espoon sairaala,Espoo,,Hospital,"Karvasmäentie 6, 02740 Espoo, Finland",,60.222066,24.685793
Jorvin sairaala,Espoo,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Karvasmäentie 8, 02740 Espoo, Finland",,60.222654,24.688492
Lohjan sairaala,Lohja,,Hospital,"Sairaalatie 8, 08200 Lohja, Finland",,60.222748,24.01623
Raaseporin sairaala,Raasepori,,Hospital,"Östra Strandgatan 9, 10600 Ekenäs, Finland",,59.968397,23.440893
Katriinan sairaala,Vantaa,,Hospital,"Katriinankuja 4, 01760 Vantaa, Finland",,60.346263,24.873142
Peijaksen sairaala,Vantaa,Helsingin seudun yliopistollinen keskussairaala,Hospital,"Sairaalakatu 1, 01400 Vantaa, Finland",,60.331578,25.059119
Forssan sairaala,Forssa,,Hospital,"Urheilukentänkatu 9, 30100 Forssa, Finland",,60.823959,23.639555
Riihimäen sairaala,Riihimäki,Kanta-Hämeen keskussairaala,Hospital,"Kontiontie 77, 11120 Riihimäki, Finland",,60.74649,24.743672
Vanajaveden sairaala,Hämeenlinna,,Hospital,"Viipurintie 1-3, 13200 Hämeenlinna, Finland",,60.998694,24.475355
Jokilaakson sairaala,osittain yksityinen),,Hospital,"Sairaalantie 11, 42100 Jämsä, Finland",,61.875776,25.188572
Kymenlaakson psykiatrinen sairaala,Kouvola,,Hospital,"Sairaalankuja 3d, 45750 Kouvola, Finland",,60.913927,26.623828
Ratamokeskus,Kouvola,,Hospital,"Ruskeasuonkatu 3, 45100 Kouvola, Finland",,60.877086,26.699856
Keroputaan sairaala,Tornio,,Hospital,"Toivolantie 1, 95410 Tornio, Finland",,65.864944,24.184454
Hatanpään sairaala,Tampere,Tampereen yliopistollinen sairaala,Hospital,"Hatanpäänkatu 24, 33900 Tampere, Finland",,61.483691,23.75524
Sastamalan sairaala,Sastamala,Tampereen yliopistollinen sairaala,Hospital,"Itsenäisyydentie 2, 38200 Sastamala, Finland",,61.337528,22.920819
Sydänsairaala,Tampere,,Hospital,"Elämänaukio 1, 33520 Tampere, Finland",,61.708766,23.673573
Tekonivelsairaala Coxa,Tampere,,Hospital,"Niveltie 4, 33520 Tampere, Finland",,61.506466,23.817706
Valkeakosken sairaala,Valkeakoski,Tampereen yliopistollinen sairaala,Hospital,"Salonkatu 24, 37600 Valkeakoski, Finland",,61.271042,24.032188
Kontinkankaan sairaala,Oulu,,Hospital,"Kajaanintie 48, 90220 Oulu, Finland",,65.010625,25.515936
Lastenklinikka,Oulu,Oulun yliopistollinen sairaala,Hospital,"Stenbäckinkatu 11, 00290 Helsinki, Finland",,60.186982,24.909311
Psykiatrian klinikka,Oulu,Oulun yliopistollinen sairaala,Hospital,"Välskärinkatu 12, 00260 Helsinki, Finland",,60.180016,24.919526
Raahen aluesairaala,Raahe,,Hospital,"Rantakatu 4, Rantakatu 4, 92100 Raahe, Finland",,64.684676,24.472506
Malmin sairaala,Pietarsaari,,Hospital,"Talvelantie 6, 00700 Helsinki, Finland",,60.253565,24.999478
Pietarsaaren sairaala,Pietarsaari,,Hospital,"Bottenviksvägen 1, 68600 Jakobstad, Finland",,63.680493,22.721657
Selkämeren aluesairaala,Kristiinankaupunki,,Hospital,"Lapväärtintie 10, 64100 Kristiinankaupunki, Finland",,62.261157,21.483536
Alavan sairaala,Kuopio,Kuopion yliopistollinen sairaala,Hospital,"Kaartokatu 9, 70620 Kuopio, Finland",,62.886459,27.66613
Iisalmen sairaala,Iisalmi,,Hospital,"Riistakatu 23, 74120 Iisalmi, Finland",,63.563392,27.182259
Kuopion psykiatrian keskus,Kuopio,,Hospital,"Viestikatu 1-3, 70600 Kuopio, Finland",,62.892622,27.646324
Varkauden sairaala,Varkaus,,Hospital,"Savontie 55, 78300 Varkaus, Finland",,62.33395,27.880732
Lahden kaupunginsairaala,Lahti,,Hospital,"Harjukatu 48, 15100 Lahti, Finland",,60.980795,25.663767
Harjavallan sairaala,Harjavalta,,Hospital,"Sairaalantie 14, Harjavalta 29200, Finland",,61.300649,22.148539
Porin kaupunginsairaala,Pori,,Hospital,"Maantiekatu 31, 28120 Pori, Finland",,61.486774,21.766696
Rauman aluesairaala,Rauma,,Hospital,"Steniuksenkatu 2, Rauma, Western Finland 26100",,61.129647,21.523898
Halikon sairaala,Salo,,Hospital,"Märyntie 1, 25250 Märynummi, Finland",,60.439819,23.048372
Kirurginen sairaala,Turku,Turun yliopistollinen keskussairaala,Hospital,"Kasarmikatu 11-13, 00130 Helsinki, Finland",,60.162244,24.948631
Loimaan sairaala,Loimaa,Turun yliopistollinen keskussairaala,Hospital,"Seppälänkatu 15-17, 32200 Loimaa, Finland",,60.852958,23.052827
Raision sairaala,Raisio,Turun yliopistollinen keskussairaala,Hospital,"Sairaalakatu 5, 21200 Raisio, Finland",,60.502904,22.142007
Salon sairaala,Salo,Turun yliopistollinen keskussairaala,Hospital,"Sairaalantie 9, 24130 Salo, Finland",,60.374872,23.128518
Turun kaupunginsairaala,Turku,,Hospital,"Kunnallissairaalantie 20, 20700 Turku, Finland",,60.439524,22.276176
Turunmaan sairaala,Turku,Turun yliopistollinen keskussairaala,Hospital,"Kaskenkatu 13, 20700 Turku, Finland",,60.444447,22.275057
Vakka-Suomen sairaala,Uusikaupunki,Turun yliopistollinen keskussairaala,Hospital,"Terveystie 2, 23500 Uusikaupunki, Finland",,60.795417,21.424948
Niuvanniemen sairaala,Kuopio,,Hospital,"Niuvankuja 65, 70240 Kuopio, Finland",,62.914368,27.625479
Vanhan Vaasan sairaala,Vaasa,,Hospital,"Vierinkiventie 1, 65380 Vaasa, Finland",,63.072398,21.707594
Eiran sairaala,Helsinki,,Hospital,"Laivurinkatu 29, 00150 Helsinki, Finland",,60.157853,24.94195
Docrates Syöpäsairaala,Helsinki,,Hospital,"Saukonpaadenranta 2, 00180 Helsinki, Finland",,60.159186,24.909929
Jokilaakson sairaala,Jämsä,,Hospital,"Sairaalantie 11, 42100 Jämsä, Finland",,61.875776,25.188572
Kaunialan Sairaala,Kauniainen,,Hospital,"Kylpyläntie 19, 02700 Kauniainen, Finland",,60.218219,24.704686
Pihlajalinna Helsinki,Helsinki,,Hospital,"Raumantie 1 a, 00350 Helsinki, Finland",,60.206142,24.877036
Pihlajalinna Tampere,Tampere,,Hospital,"Hatanpään valtatie 1, 33100 Tampere, Finland",,61.496303,23.767367
Pihlajalinna Oulu,Oulu,,Hospital,"Kiilakivenkuja 1, 90250 Oulu, Finland",,64.984121,25.509175
Pihlajalinna Kuopio,Kuopio,,Hospital,"Leväsentie 1, 70700 Kuopio, Finland",,62.883777,27.641051
Pihlajalinna Turku,Turku,,Hospital,"Yliopistonkatu 29 B, 20100 Turku, Finland",,60.450466,22.26088
Haagan terveysasema,Helsinki,,Health Center,"Huovitie 5, 00400 Helsinki",Haagan terveysasema,60.222272,24.904188
Jakomäen terveysasema,Helsinki,,Health Center,"Vuorensyrjä 8, 00770 Helsinki",Jakomäen terveysasema,60.260172,25.075352
Kalasataman terveys- ja hyvinvointikeskus,Helsinki,,Health Center,"Työpajankatu 14 A, 00580 Helsinki",Kalasataman terveysasemapalvelut,60.187777,24.98127
Kannelmäen terveysasema,Helsinki,,Health Center,"Laulukuja 4, 00420 Helsinki",Kannelmäen terveysasema,60.237679,24.890127
Kivikon terveysasema,Helsinki,,Health Center,"Kivikonkaari 21, 00940 Helsinki",Kivikon terveysasema,60.237147,25.066431
Kontulan terveysasema,Helsinki,,Health Center,"Ostoskuja 3, 00940 Helsinki",Kontulan terveysasema,60.237833,25.083935
Laajasalon terveysasema,Helsinki,,Health Center,"Koulutanhua 2 A, 00840 Helsinki",Laajasalon terveysasema,60.178451,25.055231
Laakson terveysasema,Helsinki,,Health Center,"Lääkärinkatu 8 R, 00250 Helsinki",Laakson terveysasema,60.190753,24.919177
Lauttasaaren terveysasema,Helsinki,,Health Center,"Taivaanvuohentie 6, 00200 Helsinki",Lauttasaaren terveysasema,60.161338,24.882752
Malmin terveysasema,Helsinki,,Health Center,"Talvelantie 4, 00700 Helsinki",Malmin terveysasema,60.25399,25.00115
Malminkartanon terveysasema,Helsinki,,Health Center,"Luutnantintie 12-14, 00410 Helsinki",Malminkartanon terveysasema,60.247153,24.864568
Maunulan terveysasema,Helsinki,,Health Center,"Suursuonlaita 3 A, 00630 Helsinki",Maunulan terveysasema,60.23503,24.932696
Munkkiniemen terveysasema,Helsinki,,Health Center,"Laajalahdentie 30, 00330 Helsinki",Munkkiniemen terveysasema,60.200394,24.876503
Myllypuron terveysasema,Helsinki,,Health Center,"Jauhokuja 4, 00920 Helsinki",Myllypuron terveysasema,60.225871,25.076529
Oulunkylän terveysasema,Helsinki,,Health Center,"Kylänvanhimmantie 25, 00640 Helsinki",Oulunkylän terveysasema,60.227443,24.963536
Paloheinän terveysasema,Helsinki,,Health Center,"Paloheinäntie 22, 2 krs., 00670 Helsinki",Paloheinän terveysasema,60.249223,24.941549
Pihlajamäen terveysasema,Helsinki,,Health Center,"Meripihkatie 8, 00710 Helsinki",Pihlajamäen terveysasema,60.234371,25.009898
Pitäjänmäen terveysasema,Helsinki,,Health Center,"Konalantie 6-8 C, 00370 Helsinki",Pitäjänmäen terveysasema,60.226392,24.853544
Puistolan terveysasema,Helsinki,,Health Center,"Ajurinaukio 1, 00750 Helsinki",Puistolan terveysasema,60.274946,25.03464
Suutarilan terveysasema,Helsinki,,Health Center,"Suutarilantie 32, 00740 Helsinki",Suutarilan terveysasema,60.274835,24.997779
Töölön terveysasema,Helsinki,,Health Center,"Sibeliuksenkatu 14, 00260 Helsinki",Töölön terveysasema,60.180908,24.918569
(Vallilan terveysasema),Helsinki,,Health Center,"(Rautalammintie 2, 00550 Helsinki) palvelut siirretty Kalasataman terveys- ja hyvinvointikeskukseen",toiminta Vallilassa päättynyt 2/2018 (Vallilan terveysasema),60.196437,24.954426
Viiskulman terveysasema,Helsinki,,Health Center,"Pursimiehenkatu 4, 00150 Helsinki",Viiskulman terveysasema,60.160362,24.940863
Vuosaaren terveys- ja hyvinvointikeskus,Helsinki,,Health Center,"Kahvikuja 3, 00980 Helsinki",Vuosaaren terveys- ja hyvinvointikeskus (Arkistoitu – Internet Archive),60.206356,25.146569
Uuden lastensairaalan Lasten päivystys (0-15-vuotiaille),Helsinki,,Health Center,"Uusi lastensairaala, Stenbäckinkatu 9, 00250 Helsinki ",Lasten päivystys,60.187842,24.910964
Haartmanin sairaalan päivystys,Helsinki,,Health Center,"Haartmaninkatu 4, rakennus 12, 00290 Helsinki (PL 6569, 00099 Helsingin kaupunki)","Haartmanin sairaala, päivystys",60.190487,24.90727
Malmin sairaalan päivystys,Helsinki,,Health Center,"Talvelantie 6, 00700 Helsinki (PL 6500, 00099 Helsingin kaupunki)","Malmin sairaala, päivystys",60.253565,24.999478
Diabeteskeskus,Espoo,,Health Center,"Karvasmäentie 10, 02740 Espoo",Diabeteskeskus,60.220384,24.686596
Espoonlahden terveysasema,Espoo,,Health Center,"Merikansantie 4, 02320 Espoo",Espoonlahden terveysasema,60.148975,24.659685
Ison Omenan terveysasema,Espoo,,Health Center,"Kauppakeskus Ison Omenan 3. kerroksen palvelutori, Suomenlahdentie 1 (Piispansilta 19), 02230 Espoo",Ison Omenan terveysasema,60.16033039151025,24.73804015108906
Kalajärven terveysasema,Espoo,,Health Center,"Ruskaniitty 4, 02970 Espoo",Kalajärven terveysasema,60.305887,24.73903
Kilon terveysasema,Espoo,,Health Center,"Trillakatu 5, 02610 Espoo",Kilon terveysasema,60.218042,24.786326
Kivenlahden terveysasema,Espoo,,Health Center,"Meriusva 3, 02320 Espoo",Kivenlahden terveysasema,60.154707,24.635607
Leppävaaran terveysasema,Espoo,,Health Center,"Konstaapelinkatu 2, 02650 Espoo",Leppävaaran terveysasema,60.221677,24.813931
Oma Lääkärisi Espoontori,Espoo,,Health Center,"Kamreerintie 7, 5. krs, 02770 Espoo","Oma Lääkärisi Espoontori, Yhteystiedot (Oma Lääkärisi Espoo/ Mehiläinen & Espoo)",60.2044,24.655325
Oma Lääkärisi Matinkylä,Espoo,,Health Center,"Piispanportti 10 A,  Espoo",Oma Lääkärisi Matinkylä,60.164701,24.736012
Samarian terveysasema / Espoon keskus,Espoo,,Health Center,"Terveyskuja 2, Espoo",Samarian terveysasema/ Espoon keskus,60.202599,24.654174
Tapiolan terveysasema,Espoo,,Health Center,"Ahertajantie 2, 02100 Espoo",Tapiolan terveysasema,60.178584,24.798162
(Viherlaakson terveysasema),Espoo,,Health Center,"(Kievarinpolku 1, 02710 Espoo) suljettu kesällä 2020",suljettu kesällä 2020,60.227413,24.742001
Espoon tk-päivystys,Espoo,,Health Center,"Jorvin sairaala, Päivystysrakennus (sisään Turuntien kautta), Turuntie 150, 02740 Espoo",Jorvin sairaalan päivystys,60.20956,24.65104
Kauniaisten terveysasema,Kauniainen,,Health Center,"Asematie 19, 02700 Kauniainen",Kauniainen: Terveyspalvelut,60.214518,24.715992
Atalan terveysasema,Tampere,,Health Center,"Pulkkakatu 1, 33580 Tampere",Atalan terveysasema,61.508139,23.915414
Hatanpään terveysasema,Tampere,,Health Center,"Hatanpäänkatu 24, 33100 Tampere",Hatanpään terveysasema,61.483691,23.75524
Hervannan terveysasema,Tampere,,Health Center,"Insinöörinkatu 38, 33720 Tampere",Hervannan terveysasema,61.450099,23.849302
Kaukajärven terveysasema,Tampere,,Health Center,"Keskisenkatu 9, 33710 Tampere",Kaukajärven terveysasema,61.47309,23.876611
Kämmenniemen terveysasema,Tampere,,Health Center,"Kämmenniemenkatu 42, 34240 Kämmenniemi",Kämmenniemen terveysasema,61.631569,23.838209
Lielahden terveysasema,Tampere,,Health Center,"Lielahtikeskus, Teivaankatu 1 (2. krs), 33400 Tampere",Lielahden terveysasema,61.518796,23.665265
Linnainmaan terveysasema,Tampere,,Health Center,"Kirviälänkatu 2, 33580 Tampere",Linnainmaan terveysasema,61.494601,23.881923
Tammelakeskuksen terveysasema,Tampere,,Health Center,"Itsenäisyydenkatu 21 B, 33500 Tampere",Tammelakeskuksen terveysasema,61.499179,23.78343
Tesoman terveysasema,Tampere,,Health Center,"tilapäiset tilat (vanha varikko): Turvesuonkatu 15, 33400 Tampere",Tesoman terveysasema,61.519634,23.657882
Tipotien terveysasema,Tampere,,Health Center,"Tipotie 4 (5. krs), 33230 Tampere",Tipotien terveysasema,61.499143,23.728457
Omapihlaja Hervanta(ostopalvelu),Tampere,,Health Center,"Insinöörinkatu 30 (3. krs), 33720 Tampere",Omapihlaja Hervanta,61.451548,23.847828
Omapihlaja Kehräsaari(ostopalvelu),Tampere,,Health Center,"Kehräsaari B  (4. krs), 33200 Tampere",Omapihlaja Kehräsaari,61.708766,23.673573
Tampereen tk-päivystys,Tampere,,Health Center,"TAYS Ensiapu Acuta, Teiskontie 35, 33520  Tampere",TAYS Ensiapu Acuta,61.505505,23.813456
Hakunilan terveysasema,Vantaa,,Health Center,"Laukkarinne 4, 01200 Vantaa",Hakunilan terveysasema,60.278498,25.105101
Koivukylän terveysasema,Vantaa,,Health Center,"Karsikkokuja 15, 01360 Vantaa",Koivukylän terveysasema,60.319527,25.059441
Korson terveysasema,Vantaa,,Health Center,"Naalipolku 6 B, 2. krs, 01450 Vantaa",Korson terveysasema,60.349499,25.078596
Länsimäen terveysasema,Vantaa,,Health Center,"Keilakuja 1, 01280 Vantaa",Länsimäen terveysasema,60.241704,25.112435
Martinlaakson terveysasema,Vantaa,,Health Center,"Laajaniityntie 3, 4. krs, 01620 Vantaa",Martinlaakson terveysasema,60.277114,24.851863
Myyrmäen terveysasema,Vantaa,,Health Center,"Jönsaksentie 4, 01600 Vantaa",Myyrmäen terveysasema,60.260829,24.855522
Tikkurilan terveysasema,Vantaa,,Health Center,"Kielotie 11 A, 01300 Vantaa",Tikkurilan terveysasema,60.292948,25.038439
Peijaksen yhteispäivystys,Vantaa,,Health Center,"Peijaksen sairaala, Sairaalakatu 1, 01400 Vantaa",Peijaksen yhteispäivystys (Arkistoitu – Internet Archive),60.331578,25.059119
Haukiputaan terveysasema,Oulu,,Health Center,"Simppulantie 15, 90830 Haukipudas (PL 7 90015 Oulun kaupunki)",Haukiputaan terveysasema,65.171396,25.359653
Kaakkurin terveysasema,Oulu,,Health Center,"Pesätie 11, 90420 Oulu ",Kaakkurin terveysasema,64.956435,25.531977
Kaijonharjun terveysasema,Oulu,,Health Center,"Kalevalantie 5, 90570 Oulu ",Kaijonharjun terveysasema,65.061117,25.480743
Myllyojan terveysasema,Oulu,,Health Center,"Karvarinaukio 16, 90650 Oulu ",Myllyojan terveysasema,65.018337,25.553692
Kiimingin hyvinvointikeskus,Oulu,,Health Center,"Terveystie 1, 90900 Kiiminki (Pl 52 90015 Oulun kaupunki)",Kiimingin hyvinvointikeskus,65.128878,25.775336
Kontinkankaan terveysasema,Oulu,,Health Center,"Kajaanintie 46 A (päärakennus) ja 48 A-B, 90220 Oulu ",Kontinkankaan hyvinvointikeskus,65.0100829354884,25.51410301573667
Oulunsalon terveysasema,Oulu,,Health Center,"Kauppiaantie 10, 90460 Oulunsalo(Pl 57, 90015 Oulun kaupunki)",Oulunsalon terveysasema,64.934778,25.409047
Rajakylän terveysasema,Oulu,,Health Center,"Ruiskukkatie 4, 90580 Oulu ",Rajakylän terveysasema,65.06715,25.421894
Tuiran terveysasema,Oulu,,Health Center,"Kangastie 12, 90500 Oulu ",Tuiran terveysasema,65.025969,25.460046
Oulun seudun kuntien yhteispäivystys,Oulu,,Health Center,"Oulun yliopistollinen sairaala, Kajaanintie 50, sisäänkäynti A1",Oulun seudun kuntien yhteispäivystys,65.009116,25.520813
Keskustan terveysasema ,Turku,,Health Center,"Käsityöläiskatu 2, 20100 Turku",Keskustan terveysasema,60.448612,22.258941
Kirkkotien terveysasema,Turku,,Health Center,"Kirkkotie 13, 20540 Turku",Kirkkotien terveysasema,60.456342,22.293247
"Mäntymäen terveysasema, 1. toimintayksikkö",Turku,,Health Center,"Luolavuorentie 2, 20700 Turku","Mäntymäen terveysasema, 1. yksikkö",60.437723,22.275488
"Mäntymäen terveysasema, 2. toimintayksikkö",Turku,,Health Center,"Luolavuorentie 2, 20700 Turku","Mäntymäen terveysasema, 2. yksikkö",60.437723,22.275488
Pansion terveysasema,Turku,,Health Center,"Hyrköistentie 26-28, 20240 Turku",Pansion terveysasema,60.454322,22.165707
Runosmäen terveysasema,Turku,,Health Center,"Signalistinkatu 2, 20360 Turku",Runosmäen terveysasema,60.485234,22.267894
Turun ruotsinkielinen terveysasema,Turku,,Health Center,"Luolavuorivägen 2, 20700 Åbo",Ruotsinkielinen terveysasema,60.398454,22.185732
Varissuon terveysasema,Turku,,Health Center,"Nisse Kavon katu 3, 20610 Turku",Varissuon terveysasema,60.44258,22.35998
Maarian lähipalvelupiste,Turku,,Health Center,"Arkeologinkatu 6, 20460 Turku",Maarian lähipalvelupiste,60.538933,22.347812
Mullintien lähipalvelupiste,Turku,,Health Center,"Mullintie 2, 20300 Turku",Mullintien lähipalvelupiste,60.471778,22.273703
Ulkomaalaistoimiston terveyspalvelut,Turku,,Health Center,"Rauhankatu 14 b C, 20100 Turku(PL 364, 20101 Turku)",Ulkomaalaistoimiston terveyspalvelut,19.542427,-99.250812
Turun alueen yhteispäivystys (vsshp.fi),Turku,,Health Center,"TYKS T-sairaala, Savitehtaankatu 1, Turku",Turun alueen yhteispäivystys (Arkistoitu – Internet Archive) (vsshp.fi),60.454329,22.295829
Hankasalmen terveysasema,Hankasalmi,,Health Center,"Keskustie 53, 41520 Hankasalmi",Hankasalmen terveysasema (Arkistoitu – Internet Archive),62.384887,26.437352
Huhtasuon terveysasema,Jyväskylä,,Health Center,"Nevakatu 1, 40340 Jyväskylä",Huhtasuon terveysasema (Arkistoitu – Internet Archive),62.270407,25.800684
Oma Lääkärisi Korpilahti (terveysasema),Jyväskylä,,Health Center,"Virastokuja 2, 41800 Korpilahti",Korpilahden terveysasema (Arkistoitu – Internet Archive),62.016748,25.562739
Kyllön terveysasema,Jyväskylä,,Health Center,"Keskussairaalantie 20, 40700 Jyväskylä(PL 52, 40701 Jyväskylä)",Kyllön terveysasema (Arkistoitu – Internet Archive),62.233398,25.707679
Palokan terveysasema,Jyväskylä,,Health Center,"Ritopohjantie 25, 40270 Palokka",Palokan terveysasema (Arkistoitu – Internet Archive),62.29012,25.72586
Sampoharjun terveysasema,Jyväskylä,,Health Center,"Vesmannintie 7, 40800 Vaajakoski",Sampoharjun terveysasema (Arkistoitu – Internet Archive),62.248101,25.869492
Säynätsalon terveysasema,Jyväskylä,,Health Center,"Parviaisentie 7, 40900 Säynätsalo",Säynätsalon terveysasema (Arkistoitu – Internet Archive),62.139087,25.76871
Tikkakosken terveysasema,Jyväskylä,,Health Center,"Kirkkokatu 3, 41160 Tikkakoski",Tikkakosken terveysasema (Arkistoitu – Internet Archive),62.389583,25.647722
Toivakan terveysasema,Toivakka,,Health Center,"Iltaruskontie 6, 41660 Toivakka",Toivakan terveysasema (Arkistoitu – Internet Archive),62.098027,26.087114
Uuraisten terveysasema,Uurainen,,Health Center,"Kuukantie 16, 41230 Uurainen",Uuraisten terveysasema (Arkistoitu – Internet Archive),62.496912,25.441143
Muuramen terveyskeskus,Muurame,,Health Center,"Virastotie 10, 40950 Muurame",Muuramen Hyvinvointi – sosiaali- ja terveyspalvelut,62.129372,25.680551
Keski-Suomen Sairaala Nova,Jyväskylä,,Health Center,"Hoitajantie 3, 40620 Jyväskylä",Sairaala Nova,62.229918,25.70483
Kuopion pääterveysasema,Kuopio,,Health Center,"Tulliportinkatu 15 H, 70100 Kuopio",,62.893952,27.686196
Juankosken terveysasema,Kuopio,,Health Center,"Terveystie 9, 73500 Juankoski",,63.071233,28.336715
Karttulan terveysasema,Kuopio,,Health Center,"Hoitotie 20, 72100 Karttula",,62.902585,26.958463
Maaningan terveysasema,Kuopio,,Health Center,"Satamatie 10, 71750 Maaninka",,63.156969,27.294885
Nilsiän terveysasema,Kuopio,,Health Center,"Pisantie 10, 73300 Nilsiä",,63.201286,28.096905
Pyörön terveysasema,Kuopio,,Health Center,"Pyörönkaari 24 (26), 70820 Kuopio",,62.838502,27.643707
Riistaveden terveysasema,Kuopio,,Health Center,"Museotie 3, 71160 Riistavesi",,62.83956,28.13288
Vehmersalmen terveysasema,Kuopio,,Health Center,"Vehmersalmentie 10, 71310 Vehmersalmi",,62.761419,28.034827
Tk-lääkäreiden akuuttivastaanotto ja KYSin päivystys,Kuopio,,Health Center,"Kuopion yliopistollinen sairaala (KYS): Puijonlaaksontie 2, 70210 Kuopio. Päivystys pääsairaalan C-ovesta. Terveyskeskuksen ilta- ja viikonloppupäivystys 1. krs; KYS:n päivystys: 0-kerros. ",KYSin päivystys ja terveyskeskuksen ilta- ja viikonloppuvastaanotto (pdf-esite) (Arkistoitu – Internet Archive),62.897733,27.647406
Eteläinen lähiklinikka,Lahti,,Health Center,"Launeenkatu 74, 15610 Lahti",Eteläinen lähiklinikka (Arkistoitu – Internet Archive),60.963965,25.653621
Itäinen lähiklinikka,Lahti,,Health Center,"Alasenkatu 2, 15300 Lahti",Itäinen lähiklinikka (Arkistoitu – Internet Archive),61.000121,25.757173
Keskustan lähiklinikka,Lahti,,Health Center,"Kauppakatu 14, 3. krs, 15140 Lahti",Keskustan lähiklinikka (Arkistoitu – Internet Archive),60.98183,25.664443
Nastolan terveysasema,Lahti,,Health Center,"Pekkalantie 12–14, 15560 Nastola (Peruspalvelukeskus Aava, Päijät-Hämeen sosiaali- ja terveysyhtymä)",Nastolan terveysasema (Arkistoitu – Internet Archive),60.948408,25.928919
Akuutti24 päivystys,Lahti,,Health Center,"Keskussairaalankatu 7, 15850 Lahti, (Päijät-Hämeen keskussairaala, Päijät-Hämeen sosiaali- ja terveysyhtymä)",Akuutti24 päivystys,60.994263,25.571293
Elimäen terveysasema,Kouvola,,Health Center,Kiviaidantie 1 47200 Elimäki,Elimäen terveysasema,60.721455,26.442603
Jaalan terveysasema,Kouvola,,Health Center,Keskuskaari 1 B 47710 Jaala,Jaalan terveysasema,61.05069,26.482688
Keltakankaan terveysasema,Kouvola,,Health Center,Sairaalakaari 15 A 46860 Keltakangas,Keltakankaan terveysasema,60.74663545007424,26.831775579080073
Korian terveysasema,Kouvola,,Health Center,Kyminasemantie 10 A 4 45610 Koria,Korian terveysasema,60.846412,26.607201
Kouvolan terveysasema,Kouvola,,Health Center,Marjoniementie 10 45100 Kouvola,Kouvolan terveysasema (Attendo Terveyspalvelut),60.870727,26.694116
Kuusankosken terveysasema,Kouvola,,Health Center,Kymenlaaksonkatu 3 45700 Kuusankoski,Kuusankosken terveysasema,60.907116,26.630508
Valkealan terveysasema,Kouvola,,Health Center,Keskitie 19 45370 Valkeala,Valkealan terveysasema,60.931095,26.812761
Kouvolan tk-päivystys,Kouvola,,Health Center,"Pohjois-Kymen sairaala, Päivystys, Sairaalankuja 3 C, 45750 Sairaalamäki",Yhteispäivystys: Pohjois-Kymen sairaala,60.93333,26.63333
Itä-Porin lähipalvelukeskus,Pori,,Health Center,"Itä-Porin lähipalvelukeskus, Herralahdenraitti 2, 28360 Pori",,61.476111,21.819409
Keski-Porin terveysasema,Pori,,Health Center,"Otavankatu 3 (4. kerros), 28100 Pori",,61.487804,21.790198
Lavian lähipalvelupiste,Pori,,Health Center,"Viittatie 8, 38600 Lavia",,61.596876,22.580569
Länsi-Porin sote-keskus,Pori,,Health Center,"Länsi-Porin sote-keskus (Porin pääterveysasema), 1. krs, Maantiekatu 31, 28120 Pori (PL 33, 28601 Pori)",,61.486774,21.766696
